,Name,Date Established,Area,Recreation Visitors,Description,State,Coordinate2,Latitude,Longitude,Date_Established_1,Year Established,Acres,State Code
0,Acadia,"February 26, 1919","49,071.40 acres (198.6 km2)",4069098,"Covering most of Mount Desert Island and other coastal islands, Acadia features the tallest mountain on the Atlantic coast of the United States, granite peaks, ocean shoreline, woodlands, and lakes. There are freshwater, estuary, forest, and intertidal habitats.[14][15]",Maine,﻿44.35°N 68.21°W,44.35,-68.21,1919-02-26,1919,49071.4,ME
1,American Samoa,"October 31, 1988","8,256.67 acres (33.4 km2)",8495,"The southernmost national park is on three Samoan islands in the South Pacific. It protects coral reefs, rainforests, volcanic mountains, and white beaches. The area is also home to flying foxes, brown boobies, sea turtles, and 900 species of fish.[16]",American Samoa,﻿14.25°S 170.68°W,-14.25,-170.68,1988-10-31,1988,8256.67,AS
2,Arches,"November 12, 1971","76,678.98 acres (310.3 km2)",1806865,"This site features more than 2,000 natural sandstone arches, with some of the most popular arches in the park being Delicate Arch, Landscape Arch and Double Arch.[17] Millions of years of erosion have created these structures in a desert climate where the arid ground has life-sustaining biological soil crusts and potholes that serve as natural water-collecting basins. Other geologic formations include stone pinnacles, fins, and balancing rocks.[18]",Utah,﻿38.68°N 109.57°W,38.68,-109.57,1971-11-12,1971,76678.98,UT
3,Badlands,"November 10, 1978","242,755.94 acres (982.4 km2)",1224226,"The Badlands are a collection of buttes, pinnacles, spires, and mixed-grass prairies within the drainage basin of the White River, in southwestern South Dakota. They contain the largest known assemblage of late Eocene and Oligocene mammal fossils.[19] Wildlife includes bison, bighorn sheep, black-footed ferrets, and prairie dogs.[20]",South Dakota,﻿43.75°N 102.50°W,43.75,-102.5,1978-11-10,1978,242755.94,SD
4,Big Bend,"June 12, 1944","801,163.21 acres (3,242.2 km2)",581220,"Named for the prominent bend in the Rio Grande along the U.S.–Mexico border, this park encompasses a large and remote part of the Chihuahuan Desert. Its main attraction is backcountry recreation in the arid Chisos Mountains and in canyons along the river. A wide variety of Cretaceous and Tertiary fossils as well as cultural artifacts of Native Americans also exist within its borders.[21] (BR)[22]",Texas,﻿29.25°N 103.25°W,29.25,-103.25,1944-06-12,1944,801163.21,TX
5,Biscayne,"June 28, 1980","172,971.11 acres (700.0 km2)",705655,"The central part of Biscayne Bay, this mostly underwater park at the north end of the Florida Keys has four interrelated marine ecosystems: mangrove forest, the Bay, the Keys, and coral reefs. Threatened animals include the West Indian manatee, American crocodile, various sea turtles, and the peregrine falcon.[23]",Florida,﻿25.65°N 80.08°W,25.65,-80.08,1980-06-28,1980,172971.11,FL
6,Black Canyon of the Gunnison,"October 21, 1999","30,779.83 acres (124.6 km2)",308910,"The park protects a quarter of the Gunnison River, which slices sheer canyon walls from dark Precambrian-era rock. The canyon features some of the steepest cliffs and oldest rock in North America, and is a popular site for river rafting and rock climbing. The deep, narrow canyon is composed of gneiss and schist, which appears black when in shadow.[24]",Colorado,﻿38.57°N 107.72°W,38.57,-107.72,1999-10-21,1999,30779.83,CO
7,Bryce Canyon,"February 25, 1928","35,835.08 acres (145.0 km2)",2104600,"Bryce Canyon is a geological amphitheater on southern Utah's Paunsaugunt Plateau with hundreds of tall, multicolored sandstone hoodoos formed by erosion. The region was originally settled by Native Americans and later by Mormon pioneers.[25]",Utah,﻿37.57°N 112.18°W,37.57,-112.18,1928-02-25,1928,35835.08,UT
8,Canyonlands,"September 12, 1964","337,597.83 acres (1,366.2 km2)",911594,"This landscape was eroded into a maze of canyons, buttes, and mesas by the combined efforts of the Colorado River, Green River, and their tributaries, which divide the park into three districts. The park contains thousands of rock pinnacles and arches, as well as artifacts from Ancient Pueblo peoples.[26]",Utah,﻿38.2°N 109.93°W,38.2,-109.93,1964-09-12,1964,337597.83,UT
9,Capitol Reef,"December 18, 1971","241,904.50 acres (979.0 km2)",1405353,"The park's Waterpocket Fold is a 100-mile (160 km) monocline that exhibits the earth's diverse geologic layers. Other natural features include monoliths, eroded buttes, and sandstone domes, including one shaped like the United States Capitol.[27]",Utah,﻿38.20°N 111.17°W,38.2,-111.17,1971-12-18,1971,241904.5,UT
